"new_class","length_kilometer","nb_entity"
"alley","13.92","320"
"bridleway","0","0"
"crosswalk","8.41","1254"
"cycleway","0","0"
"driveway","19.34","578"
"footway","236.26","5337"
"living_street","0","0"
"motorway","7.61","18"
"parking_aisle","107.45","4761"
"path","35.98","835"
"pedestrian","2.42","36"
"primary","38.71","840"
"residential","584.44","12630"
"secondary","23.55","640"
"sidewalk","36.22","743"
"steps","4.21","390"
"tertiary","178.60","4048"
"track","65.91","660"
"trunk","26.32","522"
"unclassified","308.61","4531"
"unknown","56.85","1436"
