"new_class","length_kilometer","nb_entity"
"alley","33.34","501"
"bridleway","0","0"
"crosswalk","2.66","528"
"cycleway","0","0"
"driveway","3.59","70"
"footway","8.38","158"
"living_street","0","0"
"motorway","0","0"
"parking_aisle","6.11","132"
"path","51.71","235"
"pedestrian","0.84","6"
"primary","5.95","57"
"residential","261.55","3664"
"secondary","24.59","441"
"sidewalk","2.57","41"
"steps","0.30","13"
"tertiary","34.86","481"
"track","102.56","681"
"trunk","22.82","259"
"unclassified","25.98","273"
"unknown","15.55","281"
