"new_class","length_kilometer","nb_entity"
"alley","14.44","340"
"bridleway","0","0"
"crosswalk","0","0"
"cycleway","0","0"
"driveway","19.46","604"
"footway","74.44","5735"
"living_street","0","0"
"motorway","8.81","39"
"parking_aisle","108.87","5461"
"path","36.88","988"
"pedestrian","2.43","41"
"primary","39.02","876"
"residential","586.21","12868"
"secondary","23.59","661"
"sidewalk","208.54","4613"
"steps","4.19","396"
"tertiary","179.86","4211"
"track","66.54","735"
"trunk","26.57","530"
"unclassified","310.03","4864"
"unknown","59.65","1482"
