"new_class","length_kilometer","nb_entity"
"alley","33.64","527"
"bridleway","0","0"
"crosswalk","0","0"
"cycleway","0","0"
"driveway","3.70","75"
"footway","6.79","680"
"living_street","0","0"
"motorway","0","0"
"parking_aisle","6.79","141"
"path","62.75","291"
"pedestrian","0.84","6"
"primary","6.09","67"
"residential","264.28","3875"
"secondary","24.72","473"
"sidewalk","7.05","122"
"steps","0.30","13"
"tertiary","36.49","500"
"track","105.01","776"
"trunk","23.30","288"
"unclassified","28.56","294"
"unknown","14.76","291"
