"new_class","length_kilometer","nb_entity"
"alley","145.24","4030"
"bridleway","0.02","1"
"crosswalk","0","0"
"cycleway","11.23","191"
"driveway","13.19","480"
"footway","413.18","26980"
"living_street","0.16","7"
"motorway","87.19","383"
"parking_aisle","16.49","621"
"path","34.09","1038"
"pedestrian","27.75","799"
"primary","105.74","2709"
"residential","690.78","20806"
"secondary","132.66","3582"
"sidewalk","684.50","20863"
"steps","20.17","2033"
"tertiary","235.00","7627"
"track","0","0"
"trunk","59.45","1510"
"unclassified","393.81","12579"
"unknown","125.88","3683"
